OBJECTID,abiebals_FS,abiebals_NHP,fagugran_FS,fagugran_NHP,fraxamer_FS,fraxamer_NHP,fraxnigr_FS,fraxnigr_NHP,fraxpenni_FS,fraxpenni_NHP,pinustro_FS,pinustro_NHP,querrubr_FS,querrubr_NHP,tsugcana_FS,tsugcana_NHP
1,1,0,1,0,1,0,1,0,1,0,2,1,2,0,3,1
2,1,0,3,1,3,0,1,0,1,0,2,0,1,0,4,1
3,1,1,2,1,1,1,1,0,1,0,1,1,1,0,1,1
4,1,0,2,1,2,0,1,0,1,0,2,0,1,0,1,0
5,3,0,1,0,3,1,1,0,1,0,3,1,1,0,2,1
6,1,1,1,1,3,1,1,1,1,0,5,0,3,0,4,0
7,2,0,1,0,1,0,1,1,1,0,2,0,2,0,2,0
8,2,1,1,1,1,0,1,0,1,0,2,0,2,0,2,1
9,1,0,4,1,1,0,1,0,1,0,1,0,1,0,1,0
10,1,0,4,1,4,0,1,0,1,0,1,0,1,0,1,0
11,1,0,1,0,2,0,1,1,1,0,4,0,3,0,3,0
12,1,0,1,1,2,1,2,0,1,0,2,1,1,0,4,1
13,2,0,1,0,1,0,4,0,1,0,4,1,1,0,3,0
14,1,1,1,0,1,0,1,0,2,0,1,1,1,1,1,0
15,1,0,3,1,2,1,1,0,1,0,1,0,1,0,2,0
16,1,0,1,0,1,0,1,0,1,0,2,0,3,0,4,0
17,1,1,1,0,1,0,1,0,1,0,2,1,1,0,1,1
18,1,0,4,0,1,0,1,1,1,0,1,0,1,0,3,1
19,1,0,1,0,2,0,1,1,3,0,2,0,1,0,2,0
20,1,0,2,0,2,0,1,0,1,0,2,0,1,0,5,1
21,1,0,2,1,2,0,1,0,1,0,1,0,2,0,2,0
22,1,0,1,1,4,1,1,1,1,0,3,0,1,0,1,1
23,1,0,4,1,1,0,1,0,1,0,1,0,1,0,1,0
24,1,0,2,1,2,0,1,1,1,0,2,0,2,0,4,1
25,1,0,1,0,1,0,1,0,1,0,4,0,4,0,2,1
26,1,0,4,0,1,0,1,0,1,0,1,0,1,0,1,0
27,1,0,4,1,4,1,1,0,1,0,1,0,1,0,1,0
28,1,0,2,1,2,1,1,0,1,0,1,0,2,0,1,1
29,1,0,2,1,1,0,1,0,1,0,1,0,1,0,1,0
30,1,0,3,1,2,1,1,1,1,0,1,0,1,0,2,1
31,1,0,3,0,1,1,1,0,1,0,3,1,2,1,4,1
32,1,0,4,1,1,0,1,0,1,0,1,0,1,0,1,0
33,1,0,4,1,4,0,1,0,1,0,1,0,1,0,1,0
34,,0,,1,,0,,0,,0,,0,,0,,1
35,1,0,3,1,3,1,1,0,1,0,1,0,1,0,3,1
36,1,0,2,0,2,0,1,0,1,0,1,1,2,0,3,1
37,1,0,2,1,2,1,1,0,1,0,1,0,1,0,3,0
38,1,0,1,1,3,1,1,0,1,0,1,0,2,0,2,0
39,1,0,4,0,2,1,1,0,1,0,1,0,1,0,1,0
40,1,0,2,1,2,0,1,0,1,0,1,0,2,0,1,1
41,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0
42,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
43,1,0,1,1,3,0,1,0,1,0,2,0,2,0,2,0
44,1,0,4,1,2,0,1,0,1,0,1,0,1,0,1,0
45,1,0,5,1,1,0,1,0,1,0,1,0,1,0,1,0
46,1,0,3,0,3,0,1,0,1,0,1,0,1,0,1,0
47,1,0,2,1,2,1,1,0,1,0,1,0,3,0,1,1
48,1,0,4,1,1,0,1,0,1,0,1,0,1,0,1,0
49,1,0,1,1,3,0,2,0,1,0,1,0,1,0,1,0
50,1,0,3,1,2,0,1,0,1,0,1,0,2,0,1,1
51,1,0,4,1,1,0,1,0,1,0,1,0,1,0,2,0
52,1,0,3,1,1,1,1,0,1,0,1,0,1,0,2,0
53,1,0,3,1,4,0,1,0,1,0,1,0,1,0,3,0
54,1,0,2,0,1,0,1,0,1,0,1,0,1,0,3,0
55,1,0,2,1,2,0,1,1,1,0,2,0,2,0,5,1
56,1,0,2,0,1,0,1,1,1,0,1,0,1,0,1,0
57,1,0,1,1,3,0,1,0,1,0,1,0,2,0,4,1
58,1,1,4,1,2,0,1,1,1,0,1,0,1,0,1,1
59,1,0,1,1,1,1,1,0,1,0,1,0,2,0,1,0
